# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0365093         	1.8199687375e+05
0.0365288         	1.8185102199e+05
0.0365482         	1.8170506834e+05
0.0365676         	1.8155902078e+05
0.036587          	1.8141280387e+05
0.0366065         	1.8126649005e+05
0.0366259         	1.8111953309e+05
0.0366453         	1.8097191530e+05
0.0366647         	1.8082344010e+05
0.0366842         	1.8067386801e+05
0.0367036         	1.8052408937e+05
0.036723          	1.8037406749e+05
0.036742          	1.8022780275e+05
0.0367609         	1.8008143950e+05
0.0367804         	1.7993068714e+05
0.0367993         	1.7978352921e+05
0.0368182         	1.7963615617e+05
0.0368372         	1.7948858225e+05
0.0368561         	1.7934119994e+05
0.0368756         	1.7918875066e+05
0.0368945         	1.7904078945e+05
0.0369141         	1.7888708528e+05
0.036933          	1.7873846343e+05
0.0369519         	1.7858978816e+05
0.0369708         	1.7844143183e+05
0.0369897         	1.7829349201e+05
0.0370086         	1.7814508842e+05
0.0370275         	1.7799669476e+05
0.0370472         	1.7784149300e+05
0.0370669         	1.7768571337e+05
0.0370865         	1.7752907154e+05
0.0371062         	1.7737162881e+05
0.037125          	1.7722231949e+05
0.0371437         	1.7707288046e+05
0.0371625         	1.7692317343e+05
0.0371823         	1.7676379004e+05
0.0372022         	1.7660418003e+05
0.0372208         	1.7645519040e+05
0.0372394         	1.7630635008e+05
0.037258          	1.7615757258e+05
0.0372766         	1.7600867264e+05
0.0372953         	1.7585964939e+05
0.0373139         	1.7571075024e+05
0.0373325         	1.7556267893e+05
0.0373511         	1.7541501050e+05
0.0373697         	1.7526732003e+05
0.0373883         	1.7512019190e+05
0.0374069         	1.7497255468e+05
0.0374255         	1.7482401546e+05
0.0374442         	1.7467525239e+05
0.0374628         	1.7452686606e+05
0.0374814         	1.7437927121e+05
0.0375            	1.7423211223e+05
0.0375194         	1.7407751766e+05
0.0375386         	1.7392471923e+05
0.0375575         	1.7377412808e+05
0.0375765         	1.7362323166e+05
0.0375954         	1.7347221442e+05
0.0376143         	1.7332123301e+05
