# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0175725         	1.6624743331e+05
0.0176082         	1.6665132932e+05
0.0176439         	1.6705567996e+05
0.0176796         	1.6746063880e+05
0.0177153         	1.6786603462e+05
0.017751          	1.6827170083e+05
0.0177867         	1.6867774689e+05
0.0178224         	1.6908419377e+05
0.0178581         	1.6949108686e+05
0.0178938         	1.6989865671e+05
0.0179295         	1.7030687603e+05
0.0179652         	1.7071622958e+05
0.0180009         	1.7112610156e+05
0.0180366         	1.7153630789e+05
0.0180723         	1.7194645448e+05
0.0181079         	1.7235695304e+05
0.0181436         	1.7276780805e+05
0.0181793         	1.7317952820e+05
0.018215          	1.7359144811e+05
0.0182507         	1.7400329490e+05
0.0182864         	1.7441512297e+05
0.0183221         	1.7482739021e+05
0.0183578         	1.7524023153e+05
0.0183935         	1.7565351270e+05
0.0184292         	1.7606704151e+05
0.0184649         	1.7648113945e+05
0.0185006         	1.7689575444e+05
0.0185355         	1.7730100720e+05
0.0185704         	1.7770635268e+05
0.0186052         	1.7811196475e+05
0.0186401         	1.7851799201e+05
0.018675          	1.7892458496e+05
0.0187099         	1.7933161664e+05
0.0187447         	1.7973881433e+05
0.0187796         	1.8014621539e+05
0.0188145         	1.8055343391e+05
0.0188483         	1.8094936301e+05
0.0188822         	1.8135105458e+05
0.0189161         	1.8175994157e+05
0.0189499         	1.8217378400e+05
0.0189838         	1.8259334995e+05
0.0190177         	1.8302105918e+05
0.0190516         	1.8345376444e+05
0.0190854         	1.8389188840e+05
0.0191181         	1.8431960146e+05
0.0191508         	1.8475216061e+05
0.0191822         	1.8517281791e+05
0.0192137         	1.8559793891e+05
0.0192451         	1.8602658824e+05
0.0192766         	1.8645997178e+05
0.019308          	1.8689721205e+05
0.0193395         	1.8733840089e+05
0.0193709         	1.8778258661e+05
0.0194024         	1.8823121574e+05
0.0194338         	1.8868544639e+05
0.0194636         	1.8912002228e+05
0.0194934         	1.8955857959e+05
0.0195232         	1.9000267970e+05
0.019553          	1.9044992990e+05
0.019581          	1.9087242861e+05
0.0196089         	1.9129799084e+05
0.0196368         	1.9172640519e+05
0.0196648         	1.9215769902e+05
0.0196927         	1.9259307081e+05
0.0197206         	1.9303123575e+05
0.0197486         	1.9347303865e+05
0.0197765         	1.9391747980e+05
0.0198045         	1.9436557618e+05
0.0198324         	1.9481638652e+05
0.0198603         	1.9526973169e+05
0.0198883         	1.9572494862e+05
0.0199162         	1.9618354295e+05
0.0199441         	1.9664269381e+05
0.0199721         	1.9710200723e+05
0.02              	1.9756312890e+05
0.0200272         	1.9815583278e+05
0.0200543         	1.9875722165e+05
0.0200815         	1.9935927489e+05
0.0201087         	1.9995868196e+05
0.0201356         	2.0054717507e+05
0.0201624         	2.0113537404e+05
0.0201887         	2.0170878451e+05
0.0202147         	2.0227279708e+05
0.0202403         	2.0282537212e+05
0.0202655         	2.0336146613e+05
0.02029           	2.0388180942e+05
0.020314          	2.0438487520e+05
0.0203375         	2.0487200238e+05
0.020361          	2.0535508195e+05
0.0203843         	2.0582860051e+05
0.0204075         	2.0629682884e+05
0.0204308         	2.0676131915e+05
0.0204538         	2.0721687598e+05
0.0204765         	2.0766314587e+05
0.0204993         	2.0810867442e+05
0.0205212         	2.0853950052e+05
0.020543          	2.0896565661e+05
0.0205647         	2.0938877851e+05
0.0205865         	2.0980918131e+05
0.0206082         	2.1022463984e+05
